REGION,FUEL,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
EU27,EUEBKM,30.38993084,30.41425669,26.12264758,26.43257213,31.23727424,33.93121145,36.62514866,39.31908587,39.7609395,40.20279312,40.64464674,41.08650036,41.52835398,41.65549033,41.78262668,41.90976303,42.03689938,42.16403573,42.43646627,42.70889681,42.98132735,43.25375789,43.52618843,43.70461351,43.8830386,44.06146368,44.23988876,44.41831384,44.5292569,44.64019996,44.75114302,44.86208608,44.97302915,44.97302915,44.97302915,44.97302915,44.97302915,44.97302915,44.97302915,44.97302915,44.97302915,44.97302915,44.97302915,44.97302915,44.97302915,44.97302915,44.97302915,44.97302915,44.97302915,44.97302915,44.97302915,44.97302915,44.97302915
EU27,EUELKM,537.6062886,541.12331,499.91976,534.5815923,597.9472475,587.8989031,577.8505586,567.8022141,578.2707162,588.7392182,599.2077202,609.6762223,620.1447243,625.9725174,631.8003104,637.6281035,643.4558966,649.2836896,655.4084513,661.5332131,667.6579748,673.7827365,679.9074982,683.7746004,687.6417026,691.5088047,695.3759069,699.2430091,703.0668857,706.8907624,710.714639,714.5385156,718.3623923,718.3623923,718.3623923,718.3623923,718.3623923,718.3623923,718.3623923,718.3623923,718.3623923,718.3623923,718.3623923,718.3623923,718.3623923,718.3623923,718.3623923,718.3623923,718.3623923,718.3623923,718.3623923,718.3623923,718.3623923
EU27,EUEHKM,123.605,126.989,125.748,132.778,133.109,136.3469686,139.5849373,142.8229059,144.4925174,146.1621289,147.8317405,149.501352,151.1709635,152.094177,153.0173904,153.9406038,154.8638172,155.7870306,156.6919657,157.5969007,158.5018357,159.4067708,160.3117058,160.9088618,161.5060178,162.1031738,162.7003298,163.2974858,164.146604,164.9957222,165.8448403,166.6939585,167.5430767,167.5430767,167.5430767,167.5430767,167.5430767,167.5430767,167.5430767,167.5430767,167.5430767,167.5430767,167.5430767,167.5430767,167.5430767,167.5430767,167.5430767,167.5430767,167.5430767,167.5430767,167.5430767,167.5430767,167.5430767
EU27,EUEUHT,9986.5798,10342.8016,10159.4316,10891.6962,10960.5874,11090.6232,11170.5387,11233.35,11248.812,11260.8136,11268.8018,11276.8413,11284.5511,11291.9415,11299.0086,11306.7495,11315.4139,11327.6176,11340.81,11354.6523,11368.8287,11383.2487,11398.1714,11412.2333,11425.5652,11437.8957,11449.1973,11459.5006,11468.6855,11476.7662,11483.9132,11489.8318,11494.7704,11497.6018,11499.6777,11500.8723,11501.5952,11501.6933,11501.4177,11500.5801,11499.4328,11497.9708,11496.3213,11494.6345,11493.1041,11491.7414,11490.5502,11489.6414,11489.1624,11488.7687,11488.5839,11488.8433,11489.3852
EU27,EUEUCL,547.3637,553.0953,520.4629,541.6261,551.4542,559.3099,566.9383,574.6494,576.4277,578.08,579.5742,581.0105,582.391,583.7391,585.0515,586.4237,587.9032,589.5399,591.3505,593.2931,595.3274,597.4636,599.711,601.9196,604.112,606.2572,608.3575,610.4184,612.4124,614.3722,616.3046,618.1918,620.0428,621.7067,623.3571,624.9705,626.5732,628.17,629.7614,631.3455,632.9269,634.5011,636.0667,637.6229,639.1703,640.7053,642.2258,643.7351,645.2322,646.7053,648.156,649.6032,651.0207
EU27,EUEUCK,724.5072,714.0703,703.8479,734.0932,742.0206,751.4976,758.7585,765.3452,766.9052,768.2555,769.3566,770.4302,771.4613,772.4624,773.4317,774.4599,775.5818,776.9326,778.414,779.9904,781.6278,783.3276,785.1056,786.8276,788.5108,790.1277,791.6785,793.1674,794.575,795.9188,797.2095,798.4255,799.5819,800.5541,801.4877,802.3654,803.2177,804.041,804.8458,805.6233,806.3865,807.1328,807.8668,808.5945,809.3241,810.0545,810.7846,811.5207,812.2687,813.0078,813.7442,814.4975,815.2474
EU27,EUEUSE,3029.9146,2993.4753,2923.8898,3001.2619,3035.32,3074.4232,3105.0489,3133.1587,3139.7962,3145.5886,3150.3727,3155.0286,3159.5008,3163.8461,3168.0562,3172.514,3177.3706,3183.1583,3189.5119,3196.2795,3203.316,3210.6309,3218.2875,3225.716,3232.9911,3239.996,3246.7323,3253.2177,3259.3682,3265.2633,3270.9459,3276.3274,3281.4685,3285.8351,3290.05,3294.0383,3297.9264,3301.7019,3305.4053,3309.0025,3312.5444,3316.0193,3319.4442,3322.8412,3326.2424,3329.6407,3333.0321,3336.4418,3339.8912,3343.2974,3346.6837,3350.1324,3353.5561
EU27,EUEHEA,187.370939,172.7692647,178.7968332,170.4414458,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843,122.8297843
EU27,EUESEL,791.8258273,753.4681661,703.8165716,717.7770999,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849,725.0655849
EU27,EUEMKM,8425.274926,8642.915408,7950.28479,8348.802053,8665.727121,8982.652189,9299.577256,9616.502324,9793.884414,9971.266504,10148.64859,10326.03068,10503.41277,10718.01205,10932.61133,11147.21061,11361.80989,11576.40916,11817.44393,12058.4787,12299.51347,12540.54824,12781.58301,13018.50202,13255.42102,13492.34003,13729.25904,13966.17805,14166.96598,14367.7539,14568.54183,14769.32976,14970.11768,14970.11768,14970.11768,14970.11768,14970.11768,14970.11768,14970.11768,14970.11768,14970.11768,14970.11768,14970.11768,14970.11768,14970.11768,14970.11768,14970.11768,14970.11768,14970.11768,14970.11768,14970.11768,14970.11768,14970.11768
